size,connectance,sigma,mu_u,mu_l,Robs
250,0.5,0.25,-1.05,0.1,1.211205397126551
250,0.5,0.25,-1.05,0.1,1.200615814147927
250,0.5,0.25,-1.05,0.1,1.2765545255144264
250,0.5,0.25,-1.05,0.1,1.1739266138245028
250,0.5,0.25,-1.05,0.1,1.2434492543428277
250,0.5,0.25,-1.05,0.1,1.2909502758451157
250,0.5,0.25,-1.05,0.1,1.2235834527369829
250,0.5,0.25,-1.05,0.1,1.2210560638834889
250,0.5,0.25,-1.05,0.1,1.2545682475081397
250,0.5,0.25,-1.05,0.1,1.1988581680029897
250,0.5,0.25,-1.05,0.1,1.1607621127135892
250,0.5,0.25,-1.05,0.1,1.269916065201694
250,0.5,0.25,-1.05,0.1,1.243906554144808
250,0.5,0.25,-1.05,0.1,1.271391020250249
250,0.5,0.25,-1.05,0.1,1.1897057112293252
250,0.5,0.25,-1.05,0.1,1.2687463178962475
250,0.5,0.25,-1.05,0.1,1.2393621576475211
250,0.5,0.25,-1.05,0.1,1.1390173185105554
250,0.5,0.25,-1.05,0.1,1.2322053833306628
250,0.5,0.25,-1.05,0.1,1.2197547319065123
250,0.5,0.25,-1.05,0.1,1.1680746296510793
250,0.5,0.25,-1.05,0.1,1.2467022585788905
250,0.5,0.25,-1.05,0.1,1.2035961482892688
250,0.5,0.25,-1.05,0.1,1.1512965786115605
250,0.5,0.25,-1.05,0.1,1.2327027515251203
250,0.5,0.25,-1.05,0.1,1.18594540714378
250,0.5,0.25,-1.05,0.1,1.2455765409568242
250,0.5,0.25,-1.05,0.1,1.2157926391944747
250,0.5,0.25,-1.05,0.1,1.256986488744321
250,0.5,0.25,-1.05,0.1,1.2786329975182462
250,0.5,0.25,-1.05,0.1,1.2357245428254695
250,0.5,0.25,-1.05,0.1,1.2471028250296137
250,0.5,0.25,-1.05,0.1,1.2110926394340864
250,0.5,0.25,-1.05,0.1,1.3275349520517707
250,0.5,0.25,-1.05,0.1,1.1472565884285824
250,0.5,0.25,-1.05,0.1,1.2255931275829899
250,0.5,0.25,-1.05,0.1,1.2088833715321803
250,0.5,0.25,-1.05,0.1,1.2354596232506272
250,0.5,0.25,-1.05,0.1,1.3011331672933117
250,0.5,0.25,-1.05,0.1,1.226729604600687
250,0.5,0.25,-1.05,0.1,1.3172541503219386
250,0.5,0.25,-1.05,0.1,1.2924129040240324
250,0.5,0.25,-1.05,0.1,1.2380113419686125
250,0.5,0.25,-1.05,0.1,1.2491252996936146
250,0.5,0.25,-1.05,0.1,1.2341449181430393
250,0.5,0.25,-1.05,0.1,1.1798798714950116
250,0.5,0.25,-1.05,0.1,1.2332593089967738
250,0.5,0.25,-1.05,0.1,1.273892889721459
250,0.5,0.25,-1.05,0.1,1.2565062774435392
250,0.5,0.25,-1.05,0.1,1.2199601580147998
250,0.5,0.25,-1.05,0.1,1.2234509942532852
250,0.5,0.25,-1.05,0.1,1.2409366833154818
250,0.5,0.25,-1.05,0.1,1.2700312951211246
250,0.5,0.25,-1.05,0.1,1.197672193487578
250,0.5,0.25,-1.05,0.1,1.240904142452949
250,0.5,0.25,-1.05,0.1,1.2713281009891475
250,0.5,0.25,-1.05,0.1,1.1927350599882136
250,0.5,0.25,-1.05,0.1,1.2204030609465661
250,0.5,0.25,-1.05,0.1,1.3042224776070517
250,0.5,0.25,-1.05,0.1,1.1839894494175485
250,0.5,0.25,-1.05,0.1,1.1710442142499573
250,0.5,0.25,-1.05,0.1,1.1836486847901933
250,0.5,0.25,-1.05,0.1,1.229959977032504
250,0.5,0.25,-1.05,0.1,1.187234179046935
250,0.5,0.25,-1.05,0.1,1.3015645288618152
250,0.5,0.25,-1.05,0.1,1.29019666763235
250,0.5,0.25,-1.05,0.1,1.1548965686999217
250,0.5,0.25,-1.05,0.1,1.2345821575229763
250,0.5,0.25,-1.05,0.1,1.2342774033393928
250,0.5,0.25,-1.05,0.1,1.149915498778898
250,0.5,0.25,-1.05,0.1,1.1866374823375017
250,0.5,0.25,-1.05,0.1,1.243723950936856
250,0.5,0.25,-1.05,0.1,1.2737697427204662
250,0.5,0.25,-1.05,0.1,1.1930811446290916
250,0.5,0.25,-1.05,0.1,1.1329732260051832
250,0.5,0.25,-1.05,0.1,1.2143980749428822
250,0.5,0.25,-1.05,0.1,1.2061291312755853
250,0.5,0.25,-1.05,0.1,1.1757294079971226
250,0.5,0.25,-1.05,0.1,1.2111727545082098
250,0.5,0.25,-1.05,0.1,1.2652543667356013
250,0.5,0.25,-1.05,0.1,1.236680992248052
250,0.5,0.25,-1.05,0.1,1.2948208342924397
250,0.5,0.25,-1.05,0.1,1.2227780514922848
250,0.5,0.25,-1.05,0.1,1.3306806696782332
250,0.5,0.25,-1.05,0.1,1.216109678045499
250,0.5,0.25,-1.05,0.1,1.245286015056068
250,0.5,0.25,-1.05,0.15000000000000002,1.5475414868478705
250,0.5,0.25,-1.05,0.15000000000000002,1.604245826871963
250,0.5,0.25,-1.05,0.15000000000000002,1.4060060310793683
250,0.5,0.25,-1.05,0.15000000000000002,1.4327697326357394
250,0.5,0.25,-1.05,0.15000000000000002,1.5790481058286485
250,0.5,0.25,-1.05,0.15000000000000002,1.5643140186191362
250,0.5,0.25,-1.05,0.15000000000000002,1.3455801368255507
250,0.5,0.25,-1.05,0.15000000000000002,1.4726401240985172
250,0.5,0.25,-1.05,0.15000000000000002,1.5076241913097435
250,0.5,0.25,-1.05,0.15000000000000002,1.5198558720048785
250,0.5,0.25,-1.05,0.15000000000000002,1.371586218277271
250,0.5,0.25,-1.05,0.15000000000000002,1.523972744034569
250,0.5,0.25,-1.05,0.15000000000000002,1.4966133345816488
250,0.5,0.25,-1.05,0.15000000000000002,1.515804344539587
250,0.5,0.25,-1.05,0.15000000000000002,1.4262496103163607
250,0.5,0.25,-1.05,0.15000000000000002,1.4501665583955583
250,0.5,0.25,-1.05,0.15000000000000002,1.380231786812659
