connectance,sigma,mu,rho,Va,Pa,Rmax
0.1,0.5,-1,-0.99,0.11499999999999999,0.5673913043478263,1
0.1,0.5,-1,-0.9652499999999999,0.11499999999999999,0.5727717391304349,1
0.1,0.5,-1,-0.9405,0.11499999999999999,0.5781521739130435,1
0.1,0.5,-1,-0.91575,0.11499999999999999,0.5835326086956523,1
0.1,0.5,-1,-0.891,0.11499999999999999,0.5889130434782609,1
0.1,0.5,-1,-0.86625,0.11499999999999999,0.5942934782608696,1
0.1,0.5,-1,-0.8414999999999999,0.11499999999999999,0.5996739130434784,1
0.1,0.5,-1,-0.81675,0.11499999999999999,0.605054347826087,1
0.1,0.5,-1,-0.792,0.11499999999999999,0.6104347826086957,1
0.1,0.5,-1,-0.76725,0.11499999999999999,0.6158152173913044,1
0.1,0.5,-1,-0.7424999999999999,0.11499999999999999,0.621195652173913,1
0.1,0.5,-1,-0.71775,0.11499999999999999,0.6265760869565218,1
0.1,0.5,-1,-0.693,0.11499999999999999,0.6319565217391305,1
0.1,0.5,-1,-0.66825,0.11499999999999999,0.6373369565217392,1
0.1,0.5,-1,-0.6435,0.11499999999999999,0.6427173913043479,1
0.1,0.5,-1,-0.6187499999999999,0.11499999999999999,0.6480978260869567,1
0.1,0.5,-1,-0.594,0.11499999999999999,0.6534782608695653,1
0.1,0.5,-1,-0.56925,0.11499999999999999,0.658858695652174,1
0.1,0.5,-1,-0.5445,0.11499999999999999,0.6642391304347828,1
0.1,0.5,-1,-0.5197499999999999,0.11499999999999999,0.6696195652173914,1
0.1,0.5,-1,-0.495,0.11499999999999999,0.675,1
0.1,0.5,-1,-0.47024999999999995,0.11499999999999999,0.6803804347826088,1
0.1,0.5,-1,-0.4455,0.11499999999999999,0.6857608695652174,1
0.1,0.5,-1,-0.42074999999999996,0.11499999999999999,0.6911413043478262,1
0.1,0.5,-1,-0.3959999999999999,0.11499999999999999,0.6965217391304349,1
0.1,0.5,-1,-0.37124999999999997,0.11499999999999999,0.7019021739130435,1
