run,size,connectance,sigma,rho,Rmaj,z,tr,total
1,250,0.28757752012461424,0.7883051354438066,-0.18204615637660027,7.98452578916315,0.1,28.296686670413077,26.650784444674528
1,250,0.28757752012461424,0.7883051354438066,-0.18204615637660027,7.98452578916315,0.2,27.996696649195336,26.393773787908035
1,250,0.28757752012461424,0.7883051354438066,-0.18204615637660027,7.98452578916315,0.30000000000000004,27.702727204489136,26.140713695377382
1,250,0.28757752012461424,0.7883051354438066,-0.18204615637660027,7.98452578916315,0.4,27.41463711126262,25.891652918786612
1,250,0.28757752012461424,0.7883051354438066,-0.18204615637660027,7.98452578916315,0.5,27.132281776039253,25.646611689375234
1,250,0.28757752012461424,0.7883051354438066,-0.18204615637660027,7.98452578916315,0.6,26.85551507572793,25.40558697525859
1,250,0.28757752012461424,0.7883051354438066,-0.18204615637660027,7.98452578916315,0.7000000000000001,26.584190816396138,25.16855705388664
1,250,0.28757752012461424,0.7883051354438066,-0.18204615637660027,7.98452578916315,0.8,26.318163872860744,24.935485407635984
1,250,0.28757752012461424,0.7883051354438066,-0.18204615637660027,7.98452578916315,0.9,26.05729106409121,24.706323992128908
1,250,0.28757752012461424,0.7883051354438066,-0.18204615637660027,7.98452578916315,1,25.801431812478036,24.48101594564051
1,250,0.28757752012461424,0.7883051354438066,-0.18204615637660027,7.98452578916315,1.1,25.5504486280111,24.259497813373955
1,250,0.28757752012461424,0.7883051354438066,-0.18204615637660027,7.98452578916315,1.2000000000000002,25.30420745185011,24.04170135834043
1,250,0.28757752012461424,0.7883051354438066,-0.18204615637660027,7.98452578916315,1.3000000000000003,25.06257788790531,23.82755502469427
1,250,0.28757752012461424,0.7883051354438066,-0.18204615637660027,7.98452578916315,1.4000000000000001,24.82543334594917,23.61698511188684
1,250,0.28757752012461424,0.7883051354438066,-0.18204615637660027,7.98452578916315,1.5000000000000002,24.592651115444312,23.40991671011725
1,250,0.28757752012461424,0.7883051354438066,-0.18204615637660027,7.98452578916315,1.6,24.36411238563431,23.206274440026267
1,250,0.28757752012461424,0.7883051354438066,-0.18204615637660027,7.98452578916315,1.7000000000000002,24.139702224426305,23.00598303270485
1,250,0.28757752012461424,0.7883051354438066,-0.18204615637660027,7.98452578916315,1.8000000000000003,23.919309526110794,22.808967780064066
1,250,0.28757752012461424,0.7883051354438066,-0.18204615637660027,7.98452578916315,1.9000000000000001,23.702826935933835,22.61515488037672
1,250,0.28757752012461424,0.7883051354438066,-0.18204615637660027,7.98452578916315,2,23.490150757886944,22.424471699393195
1,250,0.28757752012461424,0.7883051354438066,-0.18204615637660027,7.98452578916315,2.1,23.2811808507423,22.236846963729832
1,250,0.28757752012461424,0.7883051354438066,-0.18204615637660027,7.98452578916315,2.2,23.075820516284708,22.052210900122702
1,250,0.28757752012461424,0.7883051354438066,-0.18204615637660027,7.98452578916315,2.3000000000000003,22.87397638282408,21.870495331614265
1,250,0.28757752012461424,0.7883051354438066,-0.18204615637660027,7.98452578916315,2.4000000000000004,22.67555828637817,21.69163373962776
1,250,0.28757752012461424,0.7883051354438066,-0.18204615637660027,7.98452578916315,2.5000000000000004,22.480479151360893,21.515561299172386
1,250,0.28757752012461424,0.7883051354438066,-0.18204615637660027,7.98452578916315,2.6,22.288654872168113,21.342214893026625
1,250,0.28757752012461424,0.7883051354438066,-0.18204615637660027,7.98452578916315,2.7,22.100004196703694,21.17153310960069
1,250,0.28757752012461424,0.7883051354438066,-0.18204615637660027,7.98452578916315,2.8000000000000003,21.914448612608453,21.003456228253427
1,250,0.28757752012461424,0.7883051354438066,-0.18204615637660027,7.98452578916315,2.9000000000000004,21.73191223673745,20.83792619509257
1,250,0.28757752012461424,0.7883051354438066,-0.18204615637660027,7.98452578916315,3.0000000000000004,21.55232170825785,20.674886591671953
1,250,0.28757752012461424,0.7883051354438066,-0.18204615637660027,7.98452578916315,3.1,21.375606085606034,20.514282598511844
1,250,0.28757752012461424,0.7883051354438066,-0.18204615637660027,7.98452578916315,3.2,21.201696747438163,20.356060954973994
1,250,0.28757752012461424,0.7883051354438066,-0.18204615637660027,7.98452578916315,3.3000000000000003,21.03052729762897,20.200169916692197
1,250,0.28757752012461424,0.7883051354438066,-0.18204615637660027,7.98452578916315,3.4000000000000004,20.862033474311296,20.046559211512637
1,250,0.28757752012461424,0.7883051354438066,-0.18204615637660027,7.98452578916315,3.5000000000000004,20.696153062905054,19.895179994690345
1,250,0.28757752012461424,0.7883051354438066,-0.18204615637660027,7.98452578916315,3.6,20.532825813048298,19.74598480390599
1,250,0.28757752012461424,0.7883051354438066,-0.18204615637660027,7.98452578916315,3.7,20.371993359320875,19.598927514558852
1,250,0.28757752012461424,0.7883051354438066,-0.18204615637660027,7.98452578916315,3.8000000000000003,20.21359914563251,19.453963295660376
1,250,0.28757752012461424,0.7883051354438066,-0.18204615637660027,7.98452578916315,3.9000000000000004,20.05758835313719,19.311048566585843
1,250,0.28757752012461424,0.7883051354438066,-0.18204615637660027,7.98452578916315,4,19.903907831528432,19.17014095486611
1,250,0.28757752012461424,0.7883051354438066,-0.18204615637660027,7.98452578916315,4.1,19.752506033567474,19.031199255142294
1,250,0.28757752012461424,0.7883051354438066,-0.18204615637660027,7.98452578916315,4.2,19.60333295269546,18.8941833893793
1,250,0.28757752012461424,0.7883051354438066,-0.18204615637660027,7.98452578916315,4.3,19.456340063582406,18.759054368384742
1,250,0.28757752012461424,0.7883051354438066,-0.18204615637660027,7.98452578916315,4.3999999999999995,19.31148026546878,18.625774254660193
