run,Rmax,Robs,size,connectance,sigma,mu,obs,pred,Rho
23,1.2,0.9335873020458672,250,0.7601159643381834,0.46148380175547077,0.17067970661446452,0,0.05233298825377474,0.4821753084761242
24,1.2,1.1832599996536197,250,0.8026680159382522,0.46684731935310225,-0.1614010720513761,0.1907047099150467,0.18470309877689417,0.07571666894452761
25,1.2,1.1772697922823083,250,0.9323372514918447,0.4290716652593105,-0.6508896206505597,0.17755371589449426,0.18603102251159084,0.0894365502797868
26,1.2,1.2198194907811113,250,0.6731263746041805,0.30460204068789143,-0.3967293952591717,0.20670636910211623,0.17711029839695708,0.12894728639051406
27,1.2,1.1744992545935833,250,0.4883215664885938,0.49062498772205326,0.17139600729569793,0.023315967884666455,0.04163322870879017,0.8609178532927686
28,1.2,1.1828178472047832,250,0.584205858875066,0.34153731913330587,-0.3556016441434622,0.15693453224565795,0.1773425698071912,0.12364389911854973
29,1.2,1.209253648590381,250,0.9268900989554822,0.21930830664158646,-0.11339947953820229,0.18900715496244258,0.16909548908669597,0.1777018768379689
30,1.2,1.31041086484011,250,0.4444830126594752,0.414549711803922,0.06463519390672445,0.025363544890118394,0.023808118903496836,0.5142072386807811
31,1.2,1.2591455632413133,250,0.880647154757753,0.15107276855307672,0.00833170861005783,0.1561021429557135,0.1618517357402198,0.31096583850678433
32,1.2,1.2628057782004753,250,0.14232814614661038,0.4526487357466663,-0.23477959539741278,0.21080062991497767,0.16699860273032638,0.17528361512667814
33,1.2,1.1833031811369341,250,0.21888715378008783,0.2156524506019917,-0.04606345063075423,0.16345255332815617,0.1613794003762622,0.29540070487188097
34,1.2,1.1838111263193563,250,0.9952681052964181,0.13366335722834727,-0.6597489365376532,0.15794618206038127,0.16318139058658482,0.23699767125073745
35,1.2,1.1487526453007981,250,0.9593239896930754,0.11316949509001621,-0.26203129068017006,0.14423872747603292,0.16203253553150734,0.2653989254224317
36,1.2,1.2033604983967512,250,0.116009924095124,0.29367924235329956,-0.19724177150055766,0.18072950458178655,0.16185447906077668,0.2614950259835101
37,1.2,1.3424686836475161,250,0.4724702893290669,0.4360387117846682,0.06789569137617946,0.027178121476033698,0.024615479073057587,0.4839920446781318
38,1.2,1.20403512330829,250,0.19802981242537498,0.341668830721738,-0.2611945807002485,0.19404434728139558,0.166593426609983,0.19342861067795852
39,1.2,1.2240895844472293,250,0.3591575953178108,0.4049094066185405,0.12572709610685706,0.03220543908097659,0.03159745909481733,0.7611233930522278
40,1.2,1.323833982056916,250,0.9689726263750345,0.45398848406897807,0.1709384606219828,0.038931689553960834,0.05917797679637331,0.9505812166497846
41,1.2,1.1891596647441036,250,0.8695611201692373,0.3387913565651324,-0.5205478449352086,0.1658572416371317,0.18074119173584366,0.12613524313847999
42,1.2,1.2214113458834566,250,0.8868841729126871,0.36152604346070005,-0.48177832877263427,0.18098535984124725,0.18153091315099876,0.09956118246483057
