sigma,mu,rho,Va,Pa,Rmax,Robs,Rho
0.28757752012461424,0.28830513544380665,-0.09102307818830013,0.06213037782132938,0.2738776314607433,0.4426131055325692,0.3858192491757824,0.999997742509556
0.22011882392689586,0.4563283745665103,0.43886080640368164,0.07628504468210823,0.8217967703783665,0.6599833354705736,0.6271186017051384,0.9999419960067407
0.4994287153240293,-0.3418445182032883,0.3581350459717214,0.15392893950151473,0.47995561816941845,0.9017755468078427,0.885639300547144,0.9037367811100967
0.18097974848933518,-0.3802583373617381,-0.02523760893382132,0.05252593546490986,0.6803455915198867,0.8589390416137298,0.8498303650182655,0.9587707385903261
0.8890472704079002,0.21107125817798078,-0.33596527110785246,0.406340293517078,-0.2993465236475365,1.052396214708165,1.0207699284170932,0.8896661209212181
0.08225083723664284,-0.37422363832592964,-0.38591045467182994,0.0383934329835384,0.8778962833909637,0.8533283740295703,0.8617814339756298,0.9737324160117614
0.48404796328395605,0.07082414301112294,-0.434268185403198,0.11840523018798803,-0.4190780325633689,1.065611385198267,1.1421956546552727,0.7686979312791515
0.23468169569969177,0.4225035652052611,-0.43298366107046604,0.07216506480103044,0.4531821636842271,0.5119113457986814,0.5978212101166821,0.999920482378552
0.3263832940720022,0.3100287886336446,-0.36646183440461755,0.07729248977005679,0.05835749061127812,0.27696674234867497,0.9197858084083037,0.9988646889358755
0.32408010633662343,-0.45221135625615716,-0.4582264549098909,0.10363773534333684,0.26110656451105874,0.8652145356601015,0.8922434104881382,0.932439798260188
0.4686057020444423,-0.41609732527285814,-0.4748101958539337,0.153079898019089,-0.05779889532853971,0.9582819651023736,0.9559660064606534,0.8751514565050086
0.11302168085239828,-0.2699577924795449,-0.05362411495298147,0.02460625260145794,0.7265148484601254,0.810683568593964,0.7941230182455776,0.988764102541586
0.6291161032859236,0.48284343630075455,0.4687602638732642,0.2561779817015126,0.5896255057057322,1.026471806788715,0.8736650417054461,0.9987693340317156
0.19935123692266643,0.49414076656103134,0.39245191286318004,0.08091423212567946,0.8508017893911777,0.6700276903537353,0.6706299810400795,0.9999198902199362
0.6890215650200844,0.33257201546803117,-0.39443897525779903,0.26502639489948027,-0.24895277629788956,0.63791310166114,0.624004337869861,0.9995984637085505
0.9164163779933006,-0.34064897522330284,0.15606104000471532,0.44891992000735154,0.21059868011303123,0.9276668468757772,0.9398209310323554,0.8268810957551733
0.40277800033800304,0.0635813323315233,0.35714660165831447,0.0821257052334031,0.3650576144945669,0.9792638917504881,1.205938442565424,-0.7596752120297251
0.5588080866727978,-0.33577646780759096,-0.07164177321828902,0.1843196979487921,0.0922353778890346,0.8811551745306362,0.8849468653079704,0.8737498492583771
0.7387978688348085,-0.4993155726697296,0.18771790200844407,0.33524015577505245,0.3387402015805114,0.9245617514937663,0.9323982790722446,0.8651059981258685
0.9002282011788338,-0.41128618619404733,-0.05221041524782777,0.4474944888373506,0.04722547361001541,0.9171948129959361,0.8777985038762561,0.8811202187469082
0.12317242240533233,0.35903968196362257,-0.4387503887992352,0.039813096126733616,0.7258700598738093,0.4937832328322252,0.42382341242226707,0.999998024302572
0.956408507656306,0.2435356113128364,0.2527382846456021,0.4721860152530604,0.27620350147802974,1.2992341499959312,1.1365059712083365,-0.9613604607457266
0.2971910110209137,-0.1913798190653324,-0.07031178730539978,0.05331780730218627,0.1134987123398962,0.8025795178151225,0.8829137346603059,0.9580048358864145
0.5449562363792211,0.1713298202957958,-0.0700152087956667,0.15582712661495016,-0.019624227528390926,0.28390245995132635,0.3843675369691434,0.9999904421260638
0.5266187295783311,-0.039038565242663026,0.1660309606231749,0.13904464556539914,0.16831615613915668,0.8732288183523961,0.8446486360383857,0.901921108342332
0.6948086607735604,-0.34721493744291365,0.05981025658547878,0.2715190907388459,0.1641745526972023,0.9055850135385237,0.9159997506746399,0.8300894755758507
0.4367352691479027,-0.43928374303504825,-0.440426935441792,0.1436113993825661,0.043447403475949886,0.8621113995312877,0.9124788002762236,0.9224233606472104
0.4648483188357204,0.17584497993811965,0.4733016835525632,0.11577234400455721,0.50847044399344965,0.9402191827550019,0.9096566948161876,0.9909120538683464
0.07573560369201005,0.25818896433338523,0.4752564514055848,0.01953332615918312,0.922955597128788,0.436589056622014,0.46138123776950957,0.9999906552644989
0.7310241917148232,-0.4525192519649863,-0.14143058867193758,0.318391602785893,0.04209728433658665,0.9028876140799091,0.9171208067105033,0.8596403067471077
0.5937847562599927,0.2053322170395404,-0.20626921253278852,0.1868304982219627,-0.13821568007830476,0.5056924180339823,0.5337843466080369,0.999875628746053
0.14670545724220574,-0.22257737978361547,-0.07514054328203201,0.023146418090157276,0.5001450597040441,0.7830168730657837,0.7808788475652094,0.9817231330578615
0.884929416468367,0.093237150227651,0.2099090025294572,0.39372332761116563,0.214270181978767,1.1929258195286836,1.193513456004225,-0.3976249861629368
0.7135821243282408,0.24896960170008242,-0.17835054104216397,0.27009618972307686,-0.11074400170886746,0.5102864121588943,0.7768602500497545,0.9791296469846944
0.19489875226281583,0.09537164424546063,0.3117425220552832,0.021266699448321907,0.385334316733018,0.444749631606741,0.4233143623392682,0.9999822631603296
0.5842017794493586,0.21446211519651115,-0.22055566147901118,0.1821443592695389,-0.143503816556215,0.49861650489725073,0.5584189273383636,0.9990281504725459
0.9122289149090648,-0.04213017039000988,0.3844861655961722,0.4165245344123577,0.38514189350885897,0.9339263830294232,0.925015731891898,0.8329890209326579
0.5706666987389326,0.2058960844296962,0.1386878287885338,0.17342853992066598,0.19132301944390026,0.7195980371092302,0.7964225843429756,0.9962942717820036
0.9294719463214278,-0.27820342616178095,0.23458185279741883,0.45130833608131,0.26739820893635635,0.930854780094277,0.9224904623382781,0.8266653592427613
0.14352061273530126,0.26498153735883534,-0.4642908666282892,0.027852886925221122,0.4585533120148403,0.37867675726559985,0.36368874853401545,0.9999989443885121
0.41526709008030593,-0.49305084394291043,-0.2371224956586957,0.1469981617300865,0.27435228179567206,0.8853907843985245,0.8700550326038607,0.9247359636380971
0.2951889601536095,-0.2957566762343049,-0.47387249884195626,0.0654362639825755,0.018677749203001255,0.8046943237345044,0.8323182190490027,0.95772679286947
0.9198808101937175,0.4712693642359227,0.013305694563314319,0.47861405589815775,0.12777145523834496,0.7875589740687673,1.500687515326635,0.8926109822657802
0.7384187292773277,-0.4692885063122958,0.18887453456409276,0.32768903541297806,0.32515887933211923,0.9230421995963094,0.9054072287793273,0.8615089506624736
0.7647765597794205,-0.321556671988219,-0.16230815998278558,0.31829126651905754,-0.06791258775373003,1.022718145802039,1.0101665026236977,0.7507619611510142
0.4001365713775158,0.01753673213534057,0.2994891426060349,0.08013152212037356,0.30016126570948765,0.8533568574886198,0.8396677305019561,0.9330678021893609
0.22476090141572058,-0.38007571641355753,-0.3588708583265543,0.06137311895442339,0.4407428756100054,0.8494760646468625,0.8121403057907173,0.9623682115552236
0.35030202264897525,-0.2091524349525571,0.19755166908726096,0.07229193879762749,0.31894450701248006,0.8486486021889961,0.8422529317883743,0.9283373742729006
0.19469375303015113,0.014249930856749415,-0.39900222746655345,0.019003593866838274,-0.39526501156198923,1.093467550540132,1.1135934516169554,0.8312877016760358
0.3708629561588168,0.10868371953256428,-0.19237500568851829,0.07172270384828652,-0.1432813689087378,0.414561093319438,0.5360003594821552,0.9997143421581745
0.4170509309042245,-0.45792837464250624,-0.06725643086247146,0.13939033855972202,0.33413789156351353,0.8873323455385603,0.8852899505557335,0.9063748138901561
0.046002860413864255,-0.26670782966539264,0.4756633285433054,0.018841398184334765,0.9705532897912951,0.8104897252260599,0.8000163921921079,0.9889076593004463
0.4460445106960833,-0.2380778305232525,-0.4796768119558692,0.11364811610771881,-0.2951826838394442,1.4513082655369338,1.4454407492867403,0.4826179849873764
0.6459156321361661,-0.0025672391057014465,0.21854430041275918,0.20860514959808796,0.21855047278324186,0.8979577842790288,0.8886302361853764,0.8927165691082384
0.6422470724210143,0.40886373445391655,0.09386496432125568,0.24803303935458249,0.24654441136672017,0.7524919227197666,0.6723405101169133,0.9997012358018622
0.6234909573104233,0.12808729452081025,-0.24218053137883544,0.1984720756783492,-0.21650984858356948,0.7834909488050327,0.8837463299251718,0.9673077452241268
0.009941741358488798,-0.08174833888188004,-0.23482888657599688,0.0017201168381062184,0.9645232556358835,0.5629882133840227,0.5614009244440173,0.999801227129589
0.8127398667857051,-0.36972940945997834,0.1273059444501996,0.3644480045863289,0.20914006959440712,0.9202650844278527,0.9268588675135151,0.8352248049721851
0.6808017254807055,0.37745484826155007,-0.27993668313138187,0.2673635353277904,-0.10942413842824106,0.42924207721980656,0.35004159149957303,0.9999986529957973
0.4559775593224913,0.14110875269398093,-8.727929089218378e-4,0.1089356873245608,0.0448630429532492,0.37568706314713113,0.4028516878232628,0.9999874725615432
0.7609899791423231,0.26470175944268703,0.20775237237103283,0.30706962954053024,0.25294605662065917,0.9818226259757933,1.1860232691175052,0.9464408725524867
0.6141995021607727,0.46184865036047995,0.12329337489791214,0.24194655818721972,0.316523220283835,0.7858152220735461,1.6026833109162366,0.9258897422325589
0.013862315565347672,0.027701997896656394,-0.2539372630417347,2.8793206828322897e-4,0.5815656417192526,0.09508230718655898,0.10635406423489369,0.9999999999826445
0.16415980691090226,-0.08894471870735288,0.09034282295033336,0.01545201184899489,0.20677501086360373,0.7034276750813796,0.720408484698155,0.9906063477618388
0.6297455325257033,0.4773355114739388,0.408697540871799,0.2552520154965625,0.5406531949723675,0.9919378061903098,0.9441201927063305,0.9982732273425344
0.09151992457918823,0.2267426559701562,-0.2255481358151883,0.017041006306590303,0.6988128437641308,0.377859791596887,0.41670521888504963,0.9999959465995719
0.8114584393333644,-0.33637661510147154,-0.243453772040084,0.35751970617945056,-0.14507050049069042,1.191908001758638,1.2405823886072709,0.6607547405060793
0.17397349560633302,0.2878710182849318,0.31543581606820226,0.03585081937884427,0.7110309893190302,0.5045775876586696,0.4905469293154698,0.9999868528753221
0.16266167326830328,0.26557100587524474,-0.45106255635619164,0.03086139976561944,0.37797048729087007,0.36684891045883417,0.3190521216918942,0.9999997146243301
0.8273638370446861,-0.24396700272336602,-0.250367941102013,0.35714543402910864,-0.19827307599362373,1.320328763023503,1.2976583942499216,0.5986985026856965
0.7486909348517656,0.14827676978893578,-0.4855824690312147,0.28576555807936566,-0.45700833201345653,1.265543134959006,1.381159488447524,0.6154369069366148
0.132731637917459,0.08303738455288112,-0.08732942235656083,0.010532645660471487,0.09062590671713103,0.1769471056343408,0.17200675254883802,0.9999999903978658
0.8200189075432718,-0.1096084606833756,-0.1865592545364052,0.33921900802757526,-0.1760532540369107,1.261133393645146,1.2518994720935908,0.6713372666963364
0.9631638436112553,-0.2715577920898795,0.05122550157830119,0.4822782034311859,0.08749402837689783,0.9227270405555744,0.9662210377271139,0.8304907592110877
0.5840278638061136,0.4173950410913676,0.17690798779949546,0.2140989279328823,0.34435155717276994,0.7915990448521697,0.8917515137735067,0.9976219195757072
0.9320344850420952,0.3384985744487494,0.11477837548591197,0.4629894618798006,0.16954734946518238,0.9501896256361615,0.6399460723371326,0.9994453711832078
0.8463574468623847,0.22114962642081082,0.14942002296447754,0.3703872532462232,0.1774983709230312,0.9964216845292736,1.2601773995724694,0.8672678326436919
0.8204186763614416,-0.1996139739640057,0.30830657994374633,0.34650483691175565,0.32819160914977313,0.925160369659134,0.940101729618529,0.8866563315490881
0.3313079208601266,0.3400182237382978,-0.36079900059849024,0.08378556733086676,0.10862918717741617,0.34416092958727984,0.221251850337489,0.9999999674849946
0.48654328333213925,-0.30435494566336274,0.21603495883755386,0.1415201665152463,0.34432091079070354,0.888841608731917,0.880943999306433,0.9087690615501844
0.3979144683107734,-0.29262171778827906,0.14281543460674584,0.10057482947586355,0.3252630355655059,0.8692012481437226,0.9321212575696346,0.9375894330778903
0.5217991103418171,0.3684876437764615,-0.32844950957223773,0.170082941680738,-0.06331261700345023,0.28276745863247593,0.2723903162424377,0.9999997721446668
0.3068058704957366,-0.14553973800502717,0.2134398811031133,0.052360374919966333,0.29298844820478753,0.8238835881139353,0.9010138192120536,0.9661085079457116
0.8800362115725875,0.286710639949888,-0.2527053651865572,0.40778261460463455,-0.18957361051643765,0.7469364381313855,0.82743088484603,0.9890849014174818
0.23865477624349296,-0.10910390294156969,-0.07085451553575695,0.03145396652118671,0.030460924338053717,0.7429048203039094,0.7424789976007627,0.9779739162226602
0.6829514151904732,-0.38420867267996073,-0.27466215775348246,0.27011539379595934,-0.10051351507607115,1.0776916618968835,1.1135766701624146,0.7654890488215891
0.970597883220762,0.31569730886258185,0.15920660202391446,0.4959463231620811,0.20144781554901411,1.0740918264761532,1.197684976972225,0.9284909916692167
0.05979029438458383,0.3884175019338727,-0.014318691799417138,0.0395044786034351,0.9541056226314316,0.5391754683468485,0.4900090776163277,0.999991973709189
0.589122844627127,-0.4265149205457419,0.08180040121078491,0.21901160739281417,0.2724686736542666,0.9039907021503529,0.9477741374606214,0.7681386421832934
0.41111263050697744,-0.2927940480876714,0.13735291617922485,0.10593888613007468,0.311871730266566,0.8709898151094275,0.8411743329229564,0.9216969116212074
0.1903493171557784,-0.10505146067589521,0.1887122355401516,0.020875383618370345,0.2959344223608547,0.7475088865671713,0.768494679243079,0.9858152977450093
0.36097001819871366,-0.3470699682366103,-0.0524236299097538,0.09526406773213025,0.28026315474183233,0.8620289309169993,0.8757952909959614,0.9245254145387349
0.34650501306168735,-0.12075199652463198,-0.37658458203077316,0.06367812320461125,-0.2977818462355795,1.3620012960097567,1.374743943671008,0.5512546250586946
0.029643321642652154,-0.16824977495707572,-0.10944933444261551,0.007516359952281521,0.9351479601328134,0.7262298335642409,0.7043136908188202,0.9974665397927219
0.5528869114350528,-0.48912431742064655,0.09642869443632662,0.21265261789114928,0.3505670500649471,0.9078119990407586,0.9090261676544719,0.8481870465280674
0.7510979881044477,-0.18822851427830756,-0.1922274127136916,0.2909315872641293,-0.1559297162862718,1.2024324142932297,1.1618773731090961,0.724884557061677
0.23651224002242088,-0.024730806006118655,0.4767324693966657,0.02812192303163968,0.47957755489490556,0.796876275646723,0.8050464314204687,0.9841791576060365
