size,connectance,zeta,sigma,mu,rho,Robs,Rho
250,0.5,1,0.14378876006230712,0.28830513544380665,-0.09102307818830012,0.3084063910591566,0.999999693151935
250,0.5,1,0.1982575149741024,0.3979543750174344,-0.11235601035878062,0.372397869782321,0.9999987665895356
250,0.5,1,0.27671001153066754,0.4068619767203927,0.44131935806944966,0.4446646468414005,0.9999934698701296
250,0.5,1,0.4100641214754432,0.17274620267562568,0.41128684068098664,0.6627127570397406,0.9992565488549712
250,0.5,1,0.0090802606428042,-0.22837479296140373,-0.43379580369219184,0.7819672411382769,0.9923270963683198
250,0.5,1,0.11997161956969649,-0.0383741445839405,-0.03200561483390629,0.6189226287386085,0.9969674253430604
250,0.5,1,0.38102183083537966,0.3108168845064938,-0.4701250728685409,0.3542874246727237,0.999996197381044
250,0.5,1,0.05109394213650375,0.32809740700758994,-0.3987843370996416,0.3557739551762674,0.9999993164307672
250,0.5,1,0.4024165060836822,0.1166766369715333,0.07526148902252316,0.4059881188963408,0.9999644274260072
250,0.5,1,0.20651152450591329,-0.3066627716179937,0.1851933258585632,0.8503675065094082,0.9618934740419212
250,0.5,1,0.4835268867900595,0.25899597629904747,0.1523441148456186,0.4586449372012773,0.99996177508358
250,0.5,1,0.08778984006494284,0.4483233871869743,-0.24043618119321764,0.4034617818200096,0.9999981538393824
250,0.5,1,0.05956674693152308,-0.3444544826634228,-0.10083550564013422,0.8496861612708634,0.9787586602368418
250,0.5,1,0.380172552424483,0.07225978071801364,0.18069496052339673,0.6731608985970777,0.9958329775586116
250,0.5,1,0.36546504602301866,-0.2633428405970335,0.1306510604918003,0.8730050962842576,0.9050432415384404
250,0.5,1,0.13605928688775748,-0.3682211977429688,-0.14838030491955578,0.873561907964368,0.9640513915157016
250,0.5,1,0.3096998881082982,-0.2654785243794322,0.3409715455491096,0.8818028273709766,0.9191422273442508
250,0.5,1,0.07016873511020094,0.19232868100516495,0.17546425061300397,0.3137760712540042,0.999999681549487
250,0.5,1,0.21035790257155895,-0.16289072227664292,0.4171213125810027,0.8072262570547136,0.9738162831957792
250,0.5,1,0.00941149215213954,0.1146349769551307,0.38000154914334416,0.23767552453808388,0.9999999822712012
250,0.5,1,0.3691700135823339,0.33351774513721466,0.30938053829595447,0.49261667585359936,0.9999711052451352
250,0.5,1,0.30935771483927965,0.3112385964486748,0.14532252377830446,0.417860235280224,0.9999932889106972
250,0.5,1,0.11411023989785464,0.08816192927770317,-0.22892454592511055,0.1566605038116309,0.999999996762133
250,0.5,1,0.46876512840390205,0.4120229249820113,0.18913538404740393,0.486363442100561,0.9999766495946006
250,0.5,1,0.38433094520587474,0.1395937371999025,0.07055517029948533,0.3741101642953722,0.9999820531651872
